Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (å¡C),Temp Flag,Dew Point Temp (å¡C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 0:00,2019,5,1,0:00,-2,,-3.9,,87,,12,,6,,,,,M,,,-4,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 1:00,2019,5,1,1:00,-2.3,,-4.1,,88,,10,,11,,,,,M,,,-6,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 2:00,2019,5,1,2:00,-2.9,,-5.6,,81,,12,,10,,,,,M,,,-7,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 3:00,2019,5,1,3:00,-3.2,,-3.4,,98,,9,,9,,,,,M,,,-7,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 4:00,2019,5,1,4:00,-3,,-3,,100,,9,,4,,,,,M,,,-5,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 5:00,2019,5,1,5:00,-2.7,,-2.7,,100,,12,,4,,,,,M,,,-4,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 6:00,2019,5,1,6:00,-2.7,,-2.7,,100,,15,,7,,,,,M,,,-6,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 7:00,2019,5,1,7:00,-2.4,,-2.4,,100,,15,,8,,,,,M,,,-6,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 8:00,2019,5,1,8:00,-1.6,,-2,,97,,20,,8,,,,,M,,,-5,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 9:00,2019,5,1,9:00,-0.2,,-0.6,,97,,21,,7,,,,,M,,,-3,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 10:00,2019,5,1,10:00,1.5,,-0.9,,85,,22,,10,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 11:00,2019,5,1,11:00,2.6,,-2.6,,68,,22,,14,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 12:00,2019,5,1,12:00,3.8,,-5.1,,52,,28,,15,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 13:00,2019,5,1,13:00,4.8,,-6.6,,43,,31,,20,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 14:00,2019,5,1,14:00,5.6,,-7.2,,39,,28,,16,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 15:00,2019,5,1,15:00,6.8,,-6.1,,39,,30,,13,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 16:00,2019,5,1,16:00,6.2,,-7.4,,37,,29,,12,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 17:00,2019,5,1,17:00,5.8,,-6.5,,41,,26,,7,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 18:00,2019,5,1,18:00,5.2,,-5.6,,45,,24,,6,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 19:00,2019,5,1,19:00,4.6,,-5.3,,48,,22,,11,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 20:00,2019,5,1,20:00,4,,-3.5,,58,,26,,11,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 21:00,2019,5,1,21:00,3.5,,-3.2,,61,,29,,8,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 22:00,2019,5,1,22:00,0.9,,0.8,,99,,3,,15,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-01 23:00,2019,5,1,23:00,0.8,,0.8,,100,,36,,11,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 0:00,2019,5,2,0:00,0.4,,0.4,,100,,6,,7,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 1:00,2019,5,2,1:00,0.3,,0.3,,100,,4,,8,,,,,M,,,,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 2:00,2019,5,2,2:00,-0.6,,-0.6,,100,,5,,6,,,,,M,,,-3,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 3:00,2019,5,2,3:00,-0.7,,-0.7,,100,,6,,7,,,,,M,,,-3,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 4:00,2019,5,2,4:00,-1.9,,-1.9,,100,,5,,2,,,,,M,,,-3,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 5:00,2019,5,2,5:00,-1.6,,-1.6,,100,,7,,5,,,,,M,,,-3,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 6:00,2019,5,2,6:00,-1.5,,-1.5,,100,,33,,5,,,,,M,,,-3,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 7:00,2019,5,2,7:00,-1.7,,-1.7,,100,,35,,6,,,,,M,,,-4,,
-113.54,53.49,EDMONTON SOUTH CAMPUS,3012220,2019-05-02 8:00,2019,5,2,8:00,-1.2,,-1.2,,100,,34,,3,,,,,M,,,-2,,
